term_str,n,p,i,h,n_chars,max_pos,stem_porter,stem_snowball,stem_lancaster,df,idf,tfidf_mean,tfidf_max,dfidf
alloys,482,0.01752026462142416,5.834831624588306,0.10222779408424135,6,NNS,alloy,alloy,alloy,163,0.2749507710732287,0.009353585010149476,0.04999104928604158,44.816975684936274
alloy,374,0.013594562175129948,6.2008265009306305,0.08429752140409494,5,NN,alloy,alloy,alloy,160,0.2830183928212617,0.00772976195602403,0.03537729910265771,45.28294285140187
lattice,367,0.013340118498055324,6.2280847079750545,0.08308338802031352,7,NN,lattic,lattic,lat,136,0.353599467106969,0.011215998224488332,0.040576988028668576,48.08952752654778
phase,270,0.009814256115735524,6.670905363767436,0.06546997376384747,5,NN,phase,phase,phas,88,0.5426557033270178,0.01597140835353207,0.0561367968958984,47.75370189277757
high,218,0.007924103086038312,6.979536636041341,0.05530656779677265,4,JJ,high,high,high,109,0.4497118775365629,0.010218905602487316,0.039105380655353295,49.01859465148535
bcc,163,0.005924902766166261,7.39899280658719,0.043838312946592704,3,NN,bcc,bcc,bcc,83,0.5680602831011126,0.014640651313264825,0.054100979342963096,47.14900349739234
elements,163,0.005924902766166261,7.39899280658719,0.043838312946592704,8,NNS,element,element,el,89,0.5377483688322737,0.00957953675069978,0.03432436396801747,47.85960482607236
temperature,159,0.005779506379266475,7.434838005533912,0.04296969368179608,11,NN,temperatur,temperatur,temp,80,0.5840483884852429,0.012115054020424157,0.03937404866192649,46.72387107881943
heas,150,0.005452364508741958,7.5189022703223864,0.04099579588340511,4,NN,hea,hea,hea,74,0.6179066557462103,0.015144168891765787,0.047531281211246945,45.72509252521956
fcc,149,0.005416015412017011,7.528552440356106,0.04077475604714695,3,NN,fcc,fcc,fcc,78,0.5950437727867061,0.01147336587579692,0.0540948884351551,46.413414277363074
atomic,148,0.005379666315292065,7.538267595189318,0.04055336425749769,6,JJ,atom,atom,atom,78,0.5950437727867061,0.012235692351447587,0.07000514973961247,46.413414277363074
structure,142,0.005161571734942387,7.5979738413135856,0.039217487022155835,9,NN,structur,structur,structure,81,0.5786533565985368,0.010639941381490946,0.03733247461926044,46.87092188448148
solid,140,0.005088873541492494,7.6184379438733005,0.03876926728007932,5,JJ,solid,solid,solid,86,0.5526399242336187,0.010599982678619588,0.03684266161557458,47.52703348409121
strength,121,0.004398240703718513,7.828857723543672,0.03443320070331083,8,NN,strength,strength,strength,62,0.6947466859789326,0.014580402076877596,0.04736909222583631,43.07429453069382
addition,116,0.004216495220093781,7.889739965690695,0.03326705085311769,8,NN,addit,addit,addit,61,0.7018085404664194,0.017519395422190456,0.12031003550852903,42.810320968451585
using,114,0.004143797026643888,7.914830946653526,0.03279745294313191,5,VBG,use,use,us,75,0.6120771120854864,0.011659833940781805,0.04533904533966566,45.90578340641148
solution,111,0.004034749736469049,7.953305094468162,0.03208959563396336,8,NN,solut,solut,solv,69,0.6482892847399312,0.011592390354714543,0.04321928564932875,44.73196064705525
properties,111,0.004034749736469049,7.953305094468162,0.03208959563396336,10,NNS,properti,properti,property,77,0.6006476503047047,0.011988815588257267,0.12012953006094094,46.249869073462264
parameter,107,0.003889353349569263,8.00625397441712,0.031139150712901454,9,NN,paramet,paramet,paramet,60,0.7089871250935428,0.015585271321119977,0.06219185307838094,42.539227505612565
composition,105,0.0038166551561193704,8.033475443152145,0.03066100547166498,11,NN,composit,composit,composit,72,0.629805879045918,0.011772084414694671,0.0419870586030612,45.346023291306096
size,101,0.003671258769219585,8.089509478066473,0.029698682610036487,4,NN,size,size,siz,61,0.7018085404664194,0.014747646701448293,0.05398527234357073,42.810320968451585
parameters,94,0.00341681509214496,8.19313210914063,0.02799441744244917,10,NNS,paramet,paramet,paramet,63,0.6877978260236047,0.013830923998088175,0.08253573912283256,43.3312630394871
entropy,93,0.003380465995420014,8.208562149710236,0.02774876521838726,7,NN,entropi,entropi,entrop,50,0.7881683711411677,0.017455117586904587,0.05629774079579769,39.40841855705838
hardness,92,0.0033441168986950674,8.224159004761255,0.02750254910537732,8,NN,hard,hard,hard,40,0.885078384149224,0.03349590982167071,0.0983420426832471,35.403135365968964
phases,92,0.0033441168986950674,8.224159004761255,0.02750254910537732,6,NNS,phase,phase,phas,46,0.8243805437956124,0.019780365682088144,0.08243805437956125,37.921505014598175
calculated,91,0.003307767801970121,8.23992632061957,0.027255762973951544,10,VBN,calcul,calcul,calc,51,0.7795681993792501,0.01783037937936491,0.06838317538414475,39.75797816834176
different,90,0.0032714187052451747,8.255867864488593,0.027008400559920518,9,JJ,differ,differ,diff,67,0.66106357277636,0.009024825749367103,0.04559059122595586,44.291259376016114
elastic,88,0.003198720511795282,8.28828934218097,0.026511921126528493,7,JJ,elast,elast,elast,40,0.885078384149224,0.0162548468008152,0.06157067020168515,35.403135365968964
hea,85,0.0030896732216204427,8.338330024680566,0.02576271499028927,3,NN,hea,hea,hea,55,0.7467756859829426,0.014031063460251453,0.08297507622032696,41.07266272906185
shown,82,0.0029806259314456036,8.390168956200183,0.025007955160060158,5,VBN,shown,shown,shown,66,0.6675944399353178,0.008852019570000046,0.03513654947027988,44.06123303573097
mechanical,81,0.002944276834720657,8.407870957933643,0.024755099690764604,10,JJ,mechan,mechan,mech,53,0.7628625058763975,0.014279520773630032,0.07628625058763976,40.43171281144907
energy,80,0.002907927737995711,8.425792865930905,0.024501596789446856,6,NN,energi,energi,energy,41,0.8743545187574511,0.0178471546905432,0.08197073613351104,35.848535269055496
atoms,80,0.002907927737995711,8.425792865930905,0.024501596789446856,5,NNS,atom,atom,atom,43,0.8536699198975999,0.014439577973978155,0.03836718741112809,36.7078065555968
also,79,0.0028715786412707644,8.443940212641165,0.024247438362787685,4,RB,also,also,also,63,0.6877978260236047,0.007809089944830649,0.019105495167322354,43.3312630394871
results,78,0.002835229544545818,8.462318741956018,0.023992616112557503,7,NNS,result,result,result,55,0.7467756859829426,0.01210755697296479,0.04392798152840839,41.07266272906185
materials,77,0.0027988804478208716,8.480934420123367,0.023737121527734332,9,NNS,materi,materi,mat,59,0.7162863638350423,0.013726075011345653,0.23876212127834742,42.2608954662675
formation,76,0.0027625313510959253,8.499793447374682,0.023480945876212272,9,NN,format,format,form,42,0.863889085079286,0.01366211754163138,0.05399306781745537,36.28334157333001
xrd,76,0.0027625313510959253,8.499793447374682,0.023480945876212272,3,NN,xrd,xrd,xrd,45,0.8339258617018428,0.013049101703295072,0.02779752872339476,37.52666377658293
alloying,76,0.0027625313510959253,8.499793447374682,0.023480945876212272,8,VBG,alloy,alloy,alloy,53,0.7628625058763975,0.011634126206894834,0.04487426505155279,40.43171281144907
constants,73,0.002653484060921086,8.55789640193825,0.022708241697557058,9,NNS,constant,constant,const,37,0.9189366514101914,0.017371908122859953,0.05593527443366383,34.00065610217708
due,73,0.002653484060921086,8.55789640193825,0.022708241697557058,3,JJ,due,due,due,54,0.7547446156542179,0.012557131465792274,0.06562996657862764,40.75620924532777
experimental,73,0.002653484060921086,8.55789640193825,0.022708241697557058,12,NN,experiment,experiment,expery,46,0.8243805437956124,0.014920166570621573,0.052620034710358234,37.921505014598175
observed,72,0.0026171349641961397,8.577795959375955,0.02244924972102318,8,VBN,observ,observ,observ,50,0.7881683711411677,0.013328041001727953,0.04926052319632298,39.40841855705838
binary,72,0.0026171349641961397,8.577795959375955,0.02244924972102318,6,NN,binari,binari,bin,36,0.9308358747098993,0.015599802283569351,0.054399499171357744,33.51009148955637
respectively,72,0.0026171349641961397,8.577795959375955,0.02244924972102318,12,RB,respect,respect,respect,54,0.7547446156542179,0.009030532141112905,0.02358576923919431,40.75620924532777
increase,72,0.0026171349641961397,8.577795959375955,0.02244924972102318,8,NN,increas,increas,increas,47,0.815040517541469,0.016908280942797407,0.07087308848186687,38.30690432444904
values,69,0.0025080876740213006,8.639196504040099,0.021667862265230882,6,NNS,valu,valu,valu,48,0.8058971381015992,0.014973724599586286,0.07326337619105448,38.68306262887676
theory,67,0.002435389480571408,8.681631770360495,0.021143154687730478,6,NN,theori,theori,the,36,0.9308358747098993,0.01746696437704649,0.0489913618268368,33.51009148955637
modulus,67,0.002435389480571408,8.681631770360495,0.021143154687730478,7,NN,modulu,modulus,modul,33,0.968624435599299,0.032483134486126795,0.10762493728881099,31.964606374776867
yield,66,0.0023990403838464614,8.703326841459814,0.020879632566476965,5,NN,yield,yield,yield,35,0.9430703311269109,0.01701552389036291,0.041914236938973816,33.00746158944188
strengthening,65,0.002362691287121515,8.725353147789813,0.020615315859341274,13,VBG,strengthen,strengthen,strengthening,43,0.8536699198975999,0.015426531140953721,0.07760635635432726,36.7078065555968
distortion,64,0.0023263421903965686,8.747720960818267,0.020350192340967944,10,NN,distort,distort,distort,36,0.9308358747098993,0.017045370495971122,0.040471124987386926,33.51009148955637
milling,64,0.0023263421903965686,8.747720960818267,0.020350192340967944,7,NN,mill,mill,mil,18,1.2318658703738805,0.04603280835794142,0.13687398559709782,22.17358566672985
used,61,0.0022172949002217295,8.81698362325538,0.01954985282318266,4,VBN,use,use,us,46,0.8243805437956124,0.011606310713986179,0.039256216371219635,37.921505014598175
found,61,0.0022172949002217295,8.81698362325538,0.01954985282318266,5,NN,found,found,found,48,0.8058971381015992,0.013187079962042741,0.07326337619105448,38.68306262887676
data,60,0.002180945803496783,8.840830365209749,0.019281371884431135,4,NNS,data,data,dat,50,0.7881683711411677,0.014891196996277395,0.09852104639264596,39.40841855705838
misfit,59,0.0021445967067718367,8.865077911456426,0.019012016894185205,6,NN,misfit,misfit,misfit,30,1.010017120757524,0.020460674185096405,0.0696563531556913,30.300513622725717
heat,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,4,NN,heat,heat,heat,31,0.9957766816429138,0.02234061501541548,0.09957766816429138,30.86907713093033
work,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,4,NN,work,work,work,45,0.8339258617018428,0.014737364650147668,0.08339258617018429,37.52666377658293
however,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,7,RB,howev,howev,howev,48,0.8058971381015992,0.010766988264990842,0.07326337619105448,38.68306262887676
constant,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,8,JJ,constant,constant,const,44,0.8436856989909991,0.01266217448894259,0.04687142772172217,37.12217075560396
mpa,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,3,NN,mpa,mpa,mpa,23,1.1254105394595937,0.03538432971888166,0.1250456154955104,25.884442407570656
method,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,6,NN,method,method,method,34,0.9556594584349314,0.018286726690062448,0.05972871615218321,32.492421586787664
increases,57,0.002071898513321944,8.914830946653526,0.0184706249848879,9,NNS,increas,increas,increas,37,0.9189366514101914,0.019640285399576875,0.05865553094107604,34.00065610217708
concentration,57,0.002071898513321944,8.914830946653526,0.0184706249848879,13,NN,concentr,concentr,cont,30,1.010017120757524,0.022873732866935493,0.11222412452861376,30.300513622725717
obtained,57,0.002071898513321944,8.914830946653526,0.0184706249848879,8,VBN,obtain,obtain,obtain,41,0.8743545187574511,0.01153224211998726,0.034974180750298046,35.848535269055496
diffraction,57,0.002071898513321944,8.914830946653526,0.0184706249848879,11,NN,diffract,diffract,diffract,30,1.010017120757524,0.018908145451231952,0.11882554361853223,30.300513622725717
system,57,0.002071898513321944,8.914830946653526,0.0184706249848879,6,NN,system,system,system,38,0.9073547788603763,0.012284226745996251,0.027495599359405345,34.4794815966943
volume,56,0.0020355494165969976,8.940366038760663,0.01819855687436288,6,NN,volum,volum,volum,30,1.010017120757524,0.018549499828311427,0.07769362467365569,30.300513622725717
value,56,0.0020355494165969976,8.940366038760663,0.01819855687436288,5,NN,valu,valu,valu,42,0.863889085079286,0.016844363166251534,0.06911112680634288,36.28334157333001
effect,55,0.001999200319872051,8.966361247293607,0.017925552273677745,6,NN,effect,effect,effect,41,0.8743545187574511,0.015409682297844146,0.07948677443249555,35.848535269055496
reported,54,0.001962851223147105,8.992833458654799,0.01765159415387878,8,VBD,report,report,report,36,0.9308358747098993,0.014380635865818185,0.0664882767649928,33.51009148955637
model,54,0.001962851223147105,8.992833458654799,0.01765159415387878,5,NN,model,model,model,34,0.9556594584349314,0.0188508331923436,0.06266619399573321,32.492421586787664
similar,53,0.0019265021264221584,9.019800506255068,0.01737666485520405,7,JJ,similar,similar,simil,43,0.8536699198975999,0.01488236030301964,0.08536699198976,36.7078065555968
rhea,53,0.0019265021264221584,9.019800506255068,0.01737666485520405,4,NN,rhea,rhea,rhe,19,1.2083847745243574,0.04768943567897425,0.08055898496829049,22.95931071596279
present,53,0.0019265021264221584,9.019800506255068,0.01737666485520405,7,NN,present,present,pres,40,0.885078384149224,0.013474795672637475,0.04214658972139162,35.403135365968964
volumes,53,0.0019265021264221584,9.019800506255068,0.01737666485520405,7,NNS,volum,volum,volum,28,1.0399803441349673,0.025184922102342393,0.07827809041876098,29.119449635779084
ternary,53,0.0019265021264221584,9.019800506255068,0.01737666485520405,7,JJ,ternari,ternari,tern,19,1.2083847745243574,0.0323217796410606,0.07154909849157379,22.95931071596279
well,52,0.001890153029697212,9.047281242677174,0.017100746051369017,4,RB,well,well,wel,41,0.8743545187574511,0.014825205899907464,0.06245389419696079,35.848535269055496
thermal,52,0.001890153029697212,9.047281242677174,0.017100746051369017,7,NN,thermal,thermal,therm,33,0.968624435599299,0.01890540791475474,0.14529366533989485,31.964606374776867
electron,51,0.0018538039329722656,9.075295618846772,0.016823818711104117,8,NN,electron,electron,electron,32,0.9819883971572805,0.020768168910827375,0.1091098219063645,31.423628709032975
type,51,0.0018538039329722656,9.075295618846772,0.016823818711104117,4,NN,type,type,typ,23,1.1254105394595937,0.02487656035004993,0.060289850328192514,25.884442407570656
based,51,0.0018538039329722656,9.075295618846772,0.016823818711104117,5,VBN,base,base,bas,45,0.8339258617018428,0.013255444998334726,0.11119011489357904,37.52666377658293
crystal,51,0.0018538039329722656,9.075295618846772,0.016823818711104117,7,NN,crystal,crystal,cryst,40,0.885078384149224,0.013079479562308708,0.0553173990093265,35.403135365968964
shows,50,0.0018174548362473193,9.103864771043543,0.016545863056674683,5,NNS,show,show,show,43,0.8536699198975999,0.010930009714815177,0.08536699198976,36.7078065555968
determined,50,0.0018174548362473193,9.103864771043543,0.016545863056674683,10,VBN,determin,determin,determin,36,0.9308358747098993,0.015853011039701003,0.05475505145352348,33.51009148955637
samples,49,0.0017811057395223729,9.13301111670306,0.016266858519081454,7,NNS,sampl,sampl,sampl,33,0.968624435599299,0.016018521923893657,0.044028383436331774,31.964606374776867
peaks,49,0.0017811057395223729,9.13301111670306,0.016266858519081454,5,NNS,peak,peak,peak,19,1.2083847745243574,0.0219399596354431,0.06427578587895519,22.95931071596279
magnetic,49,0.0017811057395223729,9.13301111670306,0.016266858519081454,8,JJ,magnet,magnet,magnet,21,1.1649190807432672,0.029715934778560077,0.08320850576737622,24.463300695608613
element,48,0.0017447566427974265,9.16275846009711,0.01598678368960275,7,NN,element,element,el,35,0.9430703311269109,0.01331571015192918,0.08573366646608281,33.00746158944188
new,47,0.00170840754607248,9.19313210914063,0.015705616267297065,3,JJ,new,new,new,32,0.9819883971572805,0.012252017259631539,0.0400811590676441,31.423628709032975
thus,47,0.00170840754607248,9.19313210914063,0.015705616267297065,4,RB,thu,thus,thu,41,0.8743545187574511,0.011943332007549637,0.046018658881971104,35.848535269055496
powder,46,0.0016720584493475337,9.224159004761255,0.015423333002036193,6,NN,powder,powder,powd,28,1.0399803441349673,0.016626177725680088,0.08319842753079738,29.119449635779084
compositions,46,0.0016720584493475337,9.224159004761255,0.015423333002036193,12,NNS,composit,composit,composit,33,0.968624435599299,0.013936018340489239,0.058704511248442365,31.964606374776867
order,46,0.0016720584493475337,9.224159004761255,0.015423333002036193,5,NN,order,order,ord,40,0.885078384149224,0.011119916648122454,0.03540313536596896,35.403135365968964
chemical,45,0.0016357093526225873,9.255867864488593,0.015139909632582845,8,NN,chemic,chemic,chem,35,0.9430703311269109,0.01408442785715551,0.05239279617371727,33.00746158944188
average,45,0.0016357093526225873,9.255867864488593,0.015139909632582845,7,JJ,averag,averag,av,34,0.9556594584349314,0.016020410015820913,0.10618438427054792,32.492421586787664
mixing,45,0.0016357093526225873,9.255867864488593,0.015139909632582845,6,VBG,mix,mix,mix,25,1.0891983668051488,0.02328525164073433,0.09901803334592262,27.22995917012872
range,45,0.0016357093526225873,9.255867864488593,0.015139909632582845,5,NN,rang,rang,rang,35,0.9430703311269109,0.01425794532369542,0.06736216650906506,33.00746158944188
gpa,44,0.001599360255897641,9.28828934218097,0.014855320819161888,3,NN,gpa,gpa,gpa,22,1.1447156946549804,0.02640604675413843,0.082950412656158,25.183745282409568
difference,43,0.0015630111591726946,9.321456206116169,0.014569540069899141,10,NN,differ,differ,diff,31,0.9957766816429138,0.013373611648320825,0.031118021301341055,30.86907713093033
small,43,0.0015630111591726946,9.321456206116169,0.014569540069899141,5,JJ,small,small,smal,32,0.9819883971572805,0.016080693939309096,0.06137427482233003,31.423628709032975
patterns,42,0.0015266620624477482,9.355403538039507,0.014282539660414354,8,NNS,pattern,pattern,pattern,25,1.0891983668051488,0.01780613444199805,0.04950901667296131,27.22995917012872
solute,42,0.0015266620624477482,9.355403538039507,0.014282539660414354,6,NN,solut,solut,solv,20,1.1861083798132053,0.020980843152709743,0.07603258844956444,23.722167596264107
material,42,0.0015266620624477482,9.355403538039507,0.014282539660414354,8,NN,materi,materi,mat,37,0.9189366514101914,0.015920744323054816,0.05105203618945508,34.00065610217708
time,42,0.0015266620624477482,9.355403538039507,0.014282539660414354,4,NN,time,time,tim,28,1.0399803441349673,0.020625642717506505,0.06117531436088043,29.119449635779084
density,41,0.0014903129657228018,9.390168956200183,0.013994290545752882,7,NN,densiti,densiti,dens,24,1.1069271337655804,0.017065633895458822,0.04487542434184785,26.566251210373927
temperatures,41,0.0014903129657228018,9.390168956200183,0.013994290545752882,12,NNS,temperatur,temperatur,temp,35,0.9430703311269109,0.012460226534060011,0.05894189569543193,33.00746158944188
x-ray,41,0.0014903129657228018,9.390168956200183,0.013994290545752882,5,NN,x-ray,x-ray,x-ray,28,1.0399803441349673,0.013863748157839546,0.04159921376539869,29.119449635779084
dft,41,0.0014903129657228018,9.390168956200183,0.013994290545752882,3,NN,dft,dft,dft,22,1.1447156946549804,0.02192153832301562,0.040306890656865504,25.183745282409568
analysis,41,0.0014903129657228018,9.390168956200183,0.013994290545752882,8,NN,analysi,analysi,analys,31,0.9957766816429138,0.015005349335852014,0.0711269058316367,30.86907713093033
high-entropy,40,0.0014539638689978554,9.425792865930905,0.013704762263721283,12,NN,high-entropi,high-entropi,high-entropy,30,1.010017120757524,0.021294494416478574,0.1010017120757524,30.300513622725717
bulk,40,0.0014539638689978554,9.425792865930905,0.013704762263721283,4,NN,bulk,bulk,bulk,25,1.0891983668051488,0.01629026464738968,0.0933598600118699,27.22995917012872
random,39,0.001417614772272909,9.462318741956018,0.01341392282855166,6,NN,random,random,random,27,1.0557746113181992,0.012274170523024323,0.02679630993193399,28.505914505591377
atom,39,0.001417614772272909,9.462318741956018,0.01341392282855166,4,NN,atom,atom,atom,22,1.1447156946549804,0.016990225829008138,0.042396877579814085,25.183745282409568
dislocation,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,11,NN,disloc,disloc,disloc,15,1.3110471164215052,0.02743865423663184,0.06810634371020806,19.665706746322577
presented,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,9,VBN,present,present,pres,29,1.0247403775782304,0.015174808454136955,0.044553929459923064,29.717470949768682
systems,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,7,NNS,system,system,system,29,1.0247403775782304,0.012983958117619621,0.03415801258594101,29.717470949768682
total,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,5,JJ,total,total,tot,27,1.0557746113181992,0.015184675080059485,0.07541247223701422,28.505914505591377
sss,38,0.0013812656755479626,9.499793447374682,0.013121738613654099,3,NN,sss,sss,sss,10,1.4871383754771865,0.06276962042673517,0.11223685852658011,14.871383754771866
strain,37,0.0013449165788230162,9.538267595189318,0.012828174222020455,6,NN,strain,strain,strain,25,1.0891983668051488,0.01493697506951535,0.048770076125603676,27.22995917012872
measured,37,0.0013449165788230162,9.538267595189318,0.012828174222020455,8,VBN,measur,measur,meas,28,1.0399803441349673,0.016831329989193854,0.06499877150843546,29.119449635779084
melting,37,0.0013449165788230162,9.538267595189318,0.012828174222020455,7,VBG,melt,melt,melt,25,1.0891983668051488,0.016578641743959167,0.051866588895483276,27.22995917012872
higher,36,0.0013085674820980699,9.577795959375955,0.01253319234260966,6,JJR,higher,higher,high,24,1.1069271337655804,0.017266392830745478,0.05534635668827902,26.566251210373927
change,36,0.0013085674820980699,9.577795959375955,0.01253319234260966,6,NN,chang,chang,chang,27,1.0557746113181992,0.012634711891545754,0.03558790824668087,28.505914505591377
corresponding,36,0.0013085674820980699,9.577795959375955,0.01253319234260966,13,VBG,correspond,correspond,correspond,26,1.0721650275063686,0.013070750218551154,0.02994874378509409,27.87629071516558
according,36,0.0013085674820980699,9.577795959375955,0.01253319234260966,9,VBG,accord,accord,accord,33,0.968624435599299,0.012592387362995677,0.04843122177996495,31.964606374776867
decreases,35,0.0012722183853731235,9.618437943873301,0.012236753590766078,9,NNS,decreas,decreas,decreas,24,1.1069271337655804,0.02430268553326341,0.09420656457579407,26.566251210373927
nbmotaw,35,0.0012722183853731235,9.618437943873301,0.012236753590766078,7,NN,nbmotaw,nbmotaw,nbmotaw,18,1.2318658703738805,0.03197014166445888,0.07862973640684343,22.17358566672985
intermetallic,35,0.0012722183853731235,9.618437943873301,0.012236753590766078,13,NN,intermetal,intermetal,intermetal,25,1.0891983668051488,0.016815690714347853,0.045383265283547865,27.22995917012872
transition,35,0.0012722183853731235,9.618437943873301,0.012236753590766078,10,NN,transit,transit,transit,27,1.0557746113181992,0.017540811037255157,0.040606715819930736,28.505914505591377
variation,34,0.001235869288648177,9.660258119567928,0.011938816330388192,9,NN,variat,variat,vary,17,1.2566894540989126,0.026219511867363016,0.05385811946138197,21.363720719681513
stress,34,0.001235869288648177,9.660258119567928,0.011938816330388192,6,NN,stress,stress,stress,21,1.1649190807432672,0.016998215530350365,0.05177418136636743,24.463300695608613
structures,34,0.001235869288648177,9.660258119567928,0.011938816330388192,10,NNS,structur,structur,structures,28,1.0399803441349673,0.015922403840558402,0.06117531436088043,29.119449635779084
single-phase,34,0.001235869288648177,9.660258119567928,0.011938816330388192,12,NN,single-phas,single-phas,single-phas,28,1.0399803441349673,0.015880206635612987,0.04159921376539869,29.119449635779084
first,34,0.001235869288648177,9.660258119567928,0.011938816330388192,5,RB,first,first,first,27,1.0557746113181992,0.010344708586870784,0.022463289602514876,28.505914505591377
shear,34,0.001235869288648177,9.660258119567928,0.011938816330388192,5,NN,shear,shear,shear,19,1.2083847745243574,0.026466448522172125,0.1035758378163735,22.95931071596279
metals,34,0.001235869288648177,9.660258119567928,0.011938816330388192,6,NNS,metal,metal,met,26,1.0721650275063686,0.015103580884904754,0.04376183785740279,27.87629071516558
superconducting,33,0.0011995201919232307,9.703326841459814,0.011639336475161712,15,VBG,superconduct,superconduct,superconduc,14,1.3410103397989483,0.034186863450434014,0.11175086164991235,18.774144757185276
